id,displayName
NREoMszwQZW,Abim District
QYiQ2KqgCxj,Adjumani District
ztIyIYAzFKp,Agago District
p7EEgDEX3jT,Alebtong District
ZuQHWOaFQVM,Amolatar District
a8RHFdF4DXL,Amudat District
TM6ccNxawqy,Amuria District
C0RSe3EWBqU,Amuru District
JyZJhGXKeEq,Apac District
WcB3kLlgRTb,Arua District
kb7iUQISRlx,Budaka District
AhwgeZQYj16,Bududa District
gUaoj8Geuao,Bugiri District
AIonX4LaJeU,Bugweri District
sWoNWQZ9qrD,Buhweju District
x75Yh65MaUa,Buikwe District
tdZbtg9sZkO,Bukedea District
Ame30QOwuX6,Bukomansimbi District
e8m9ZYMRoeR,Bukwo District
auLatLbcOxf,Bulambuli District
CQTmrrriwOq,Buliisa District
g8M1cWRJZV6,Bundibugyo District
iTfbtn6JUsN,Bunyangabu District
It5UGwdHAPF,Bushenyi District
lkuO79O6mRx,Busia District
MtpE3CH6vq3,Butaleja District
a3LMKP8z8Xj,Butambala District
FDPqRvcW3NN,Butebo District
aZLZPPjqft0,Buvuma District
F3ccON3OCsL,Buyende District
wMQ25dybdgH,Dokolo District
lQj3yMM1lI7,Gomba District
Gwk4wkLz7EW,Gulu District
PJFtfCyp6Rb,Hoima District
r8WLxW9JwsS,Ibanda District
oNxpMjveyZt,Iganga District
UaR7OHycj8c,Isingiro District
aJR2ZxSH7g4,Jinja District
eOJUW6OGpc7,Kaabong District
zBIpPzKYFLp,Kabale District
m77oR1YJESj,Kabarole District
QoRZB7xc3j9,Kaberamaido District
orgY0d5MJa9,Kagadi District
Lnewt3iIJaK,Kakumiro District
M38KNmhELOH,Kalaki District
JrHILmtK0OU,Kalangala District
kJCEJnXLgnh,Kaliro District
ahyi8Uq4vaj,Kalungu District
aXmBzv61LbM,Kampala District
oyygQ2STBST,Kamuli District
uCVQXAdKqL9,Kamwenge District
aphcy5JTnd6,Kanungu District
aginheWSLef,Kapchorwa District
mvN9LBbpf7X,Kapelebyong District
ZzNu8NVq6pq,Karenga District
aa8xVDzSpte,Kasese District
Pvl4FVXO0RD,Kassanda District
cSrCFjPKqcG,Katakwi District
ykxQEnZGXkj,Kayunga District
Dzsu26SwfcD,Kazo District
tM3DsJxMaMX,Kibaale District
GLHh0BXys9w,Kiboga District
Oyxwe3iDqpR,Kibuku District
L5WBetpBpY3,Kikuube District
qf9xWZu7Dq8,Kiruhura District
B0G9cqixld8,Kiryandongo District
aPhSZRinfbg,Kisoro District
b3XrQxkEndY,Kitagwenda District
pnTVIF5v27r,Kitgum District
iqsaGItA68C,Koboko District
Y4LV8xqkv6J,Kole District
aPZzL4CyBTg,Kotido District
saT18HClZoz,Kumi District
gCN6sU5BjlR,Kwania District
h1O9AvNR4jS,Kween District
IVuiLJYABw6,Kyankwanzi District
a9tQqo1rSj7,Kyegegwa District
O9MoQcpZ4uA,Kyenjojo District
REJuxCmTwXG,Kyotera District
xy0M4HhjXtD,Lamwo District
Lj8t70RYnEt,Lira District
hn1AlYtF1Pu,Luuka District
tr9XWtYsL5P,Luwero District
aqpd0Y9eXZ2,Lwengo District
aPRNSGUR3vk,Lyantonde District
COrxpzDJkUi,Madi-Okollo District
JIZDvNlIhXS,Manafwa District
WyR8Eetj7Uw,Maracha District
bIONCoCnt3Q,Masaka District
xr8EMirOASp,Masindi District
mv4gKtY0qW8,Mayuge District
yuo5ielNL7W,Mbale District
auswb7JO9wY,Mbarara District
FLygHiUd2UW,Mitooma District
Q7PaNIbyZII,Mityana District
A9kRCvmn6Co,Moroto District
W0kQBddyGyh,Moyo District
YMMexeHFUay,Mpigi District
lzWuB6bCQeV,Mubende District
a0DfYpC2Rwl,Mukono District
mOXva2xiwQv,Nabilatuk District
VuHCApXcMTm,Nakapiripirit District
aSbgVKaeCP0,Nakaseke District
aUcYGQCK9ub,Nakasongola District
Ut0ysYGEipO,Namayingo District
TGzZPOmbgn8,Namisindwa District
esIUe2tQAtL,Namutumba District
EDhGji3EteB,Napak District
Xjc0LDFa5gW,Nebbi District
aj4hsYK3dVm,Ngora District
z8D9ER36EKN,Ntoroko District
hAoe9dhZh9V,Ntungamo District
zNgVoDVPYgD,Nwoya District
JeOUizncEK9,Obongi District
S5fvUXgY54J,Omoro District
aXjub1BYn1y,Otuke District
xpIFdCMhVHG,Oyam District
aBrjuZk0W31,Pader District
uqUyTPvQKII,Pakwach District
WiVj4bEhX4P,Pallisa District
P8iz90eiIrW,Rakai District
wZrfAgC3WrU,Rubanda District
fS71jg1WYPk,Rubirizi District
fsP0Wxie1UW,Rukiga District
tugqr4dY6wq,Rukungiri District
shzPAI5Bm7z,Rwampara District
j7AQsnEYmvi,Sembabule District
zJfpujxC1kD,Serere District
xAJgEKKAeRA,Sheema District
wJ2a6YKDFZW,Sironko District
srmGjHrpVE5,Soroti District
pQ7jWEGtLDu,Terego District
KhT80mlwJ3Y,Tororo District
aIahLLmtvgT,Wakiso District
W1JM2Qdhcv3,Yumbe District
A4aGXEfdb8P,Zombo District
